nama,pendapatan,alamat
Satrio Wijaya,5000000,"Gg. Ama Patinggi 614-12, Ciwaruga, Kec. Parongpong, Kabupaten Bandung Barat"
Bayu Aji,200000,"Gg. Layung Sari, Ciwaruga, Kec. Parongpong, Kabupaten Bandung Barat"
Aditya Nugraha,800000,"Jl. Kusumah Rahayu 2, Palasari, Kec. Cibiru, Kota Bandung"
Arif Setiawan,750000,"Jl. Purnabakti III 2-9, Cisaranten Kidul, Kec. Gedebage, Kota Bandung"
Dwi Santoso,1200000,"Jl. Babakan Mekar, Bojongkoneng, Kec. Ngamprah, Kabupaten Bandung Barat"
Bagus Pratama,1000000,"Jl. Raya Cihampelas No.11, Cihampelas, Kec. Cihampelas, Kabupaten Bandung Barat"
Wahyu Adi,3500000,"Jl. Raya Pacet, RT.05/RW.08, Pakutandang, Kec. Ciparay, Kabupaten Bandung"
Joko Saputro,10000000,"Jl. Paseh-Kamojang No.29, Cibeet, Kec. Ibun, Kabupaten Bandung"
Hadi Purnomo,6000000,"Jl. Sukasari, Drawati, Kec. Paseh, Kabupaten Bandung"
Surya Wibowo,25000000,"Ciherang, Cijeruk, Kec. Pamulihan, Kabupaten Sumedang"
Prabowo Agung,50000000,"Jl. Permata Hijau Raya, Jelegong, Kec. Rancaekek, Kabupaten Bandung"
Yoga Putra,2500000,"Jl. Dae Achmad Kartiputra, Citeureup, Kec. Cimahi Utara, Kota Cimahi"
Heru Susilo,4650000,"Perumahan Cidura regency RT5/20, Tenjolaya, Kec. Pasirjambu, Kabupaten Bandung"
Didik Kurniawan,10000000,"Kinagara Regency, Bl. B4 No.21, Bojongsoang, Kabupaten Bandung"
Sujono Raharjo,15000000,"Gg. Harapan Raya 30-10, Baleendah, Kec. Baleendah, Kabupaten Bandung"
Slamet Riyadi,23000000,"Jl. Jupiter Sel. 13, Sekejati, Kec. Buahbatu, Kota Bandung"
Slamet Santoso,4000000,"Jl. A.H. Nasution Jl. Arjasari No.11, Antapani Wetan, Kec. Antapani, Kota Bandung"
Sugeng Prayitno,1000000,"Jl. Islamic Centre 5 70-198, Cikadut, Kec. Cimenyan, Kabupaten Bandung"
Sutomo Wicaksono,8000000,"Jl. Jayagiri No.36, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat"
Wawan Satrio,7500000,"Jl. Kolonel Masturi 452-451, Cipada, Kec. Cisarua, Kabupaten Bandung Barat"
Bambang Susanto,400000,"Jl. Buniayu, Kertamukti, Kec. Haurwangi, Kabupaten Cianjur"
Sugiarto Harjono,650000,"Jl. Terusan Kopo-Soreang, Cilampeni, Kec. Katapang, Kabupaten Bandung"
Jatmiko Wijaya,2800000,"Jl. Raya Soreang - Banjaran No.20, Kamasan, Kec. Banjaran, Kabupaten Bandung"
Sutrisno Widodo,3450000,"Gg. A. Supriadi, Cangkuang, Kec. Cangkuang, Kabupaten Bandung"
